id,name,category,base_purchase_price,profit_margin_rate,origins,specialty_scope,specialty_region,perishable_shelf_life_days,perishable_aging_strength,price_adjustment_min,price_adjustment_max,trend_persistence,trend_sigma,local_spread_sigma,local_spread_max,event_amplitude_min,event_amplitude_max,event_duration_min_days,event_duration_max_days,event_weight,demand_roles,transport_loss_rate
zz_flour,郑州特精粉,base,20,0.045,郑州,city,,,,-0.22,0.22,0.96,0.007,0.003,0.025,0.06,0.16,14,22,1.00,consumer+distribution,0.003
sjz_antibiotics,石家庄抗生素,base,390,0.197,石家庄,city,,,,-0.35,0.35,0.95,0.018,0.006,0.040,0.16,0.36,12,20,0.90,consumer+distribution,0.004
ty_coal,太原块煤,base,1.3,0.02,太原,city,,,,-0.18,0.18,0.97,0.005,0.002,0.020,0.05,0.14,16,24,1.10,industrial,0.002
cc_cornstarch,长春淀粉,base,19,0.043,长春,city,,,,-0.20,0.20,0.96,0.007,0.003,0.025,0.06,0.16,14,22,1.00,consumer+industrial,0.003
hrb_soybean_oil,哈尔滨大豆油,base,7.2,0.026,哈尔滨,city,,,,-0.20,0.20,0.96,0.006,0.003,0.025,0.05,0.15,14,22,0.95,consumer,0.003
sy_hardware,沈阳五金,light_industry,8,0.028,沈阳,city,,,,-0.32,0.32,0.95,0.014,0.005,0.035,0.12,0.28,12,20,0.95,industrial,0.008
gz_clothes,广州休闲服装,light_industry,630,0.25,广州,city,,,,-0.48,0.48,0.94,0.020,0.008,0.050,0.24,0.48,10,18,1.10,consumer+distribution,0.010
sh_enamel,上海搪瓷,electronics,60,0.06,上海,city,,,,-0.42,0.42,0.94,0.020,0.007,0.045,0.20,0.40,10,18,1.00,consumer+industrial,0.012
sz_pager,深圳传呼机,electronics,1500,0.30,深圳,city,,,,-0.65,0.65,0.93,0.034,0.010,0.060,0.34,0.60,8,16,1.30,consumer+distribution,0.015
bj_computer,北京电脑,electronics,1000,0.25,北京,city,,,,-0.58,0.58,0.94,0.028,0.009,0.055,0.30,0.54,8,16,1.25,consumer+industrial+distribution,0.015
fz_fish,福州带鱼,perishable,60,0.33,福州,city,,5,3,-0.52,0.52,0.91,0.030,0.014,0.090,0.25,0.50,5,9,1.15,consumer+port,0.035
hn_mango,海南芒果,perishable,40,0.30,海南,city,,6,4.5,-0.55,0.55,0.91,0.030,0.013,0.085,0.26,0.54,5,10,1.15,consumer+port,0.030
tp_tea,台北高山茶,electronics,2000,0.35,台北,city,,,,-0.62,0.62,0.93,0.032,0.010,0.060,0.34,0.62,8,16,1.30,consumer+distribution,0.012
ks_pineapple,高雄凤梨酥,perishable,500,0.27,高雄,city,,10,5.5,-0.58,0.58,0.91,0.032,0.012,0.080,0.28,0.58,5,10,1.15,consumer+port,0.020
zy_grain,中原粮食,base,19,0.043,郑州;石家庄;太原,region,中原,,,-0.20,0.20,0.96,0.007,0.003,0.025,0.06,0.16,14,22,1.10,consumer+distribution,0.003
db_mushroom,东北榛蘑,perishable,150,0.27,沈阳;长春;哈尔滨,region,东北,,7.5,-0.54,0.54,0.92,0.026,0.012,0.080,0.24,0.52,6,12,1.15,consumer+industrial,0.025
sf_textile,南方纺织品,light_industry,120,0.109,广州;深圳;福州,region,南方,,,-0.40,0.40,0.95,0.018,0.007,0.045,0.18,0.38,10,18,1.05,consumer+industrial,0.010
island_candy,海岛椰子糖,perishable,80,0.225,海南;台北;高雄,region,海岛,15,5.5,-0.50,0.50,0.92,0.026,0.011,0.075,0.22,0.48,6,12,1.10,consumer+port+island,0.020
